id,amr,antibiotic,pTested,nTested,pSusceptible,nSusceptible
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Ampicillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Ampicillin,100%,205,42%,86
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Cefazolin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Cefazolin,100%,205,72%,148
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Cefepime,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Cefepime,100%,205,87%,178
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Ceftriaxone,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Ceftriaxone,100%,205,84%,172
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Ciprofloxacin,100%,205,72%,148
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Gentamicin,100%,205,85%,174
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Levofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Levofloxacin,100%,205,72%,148
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Meropenem,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Meropenem,100%,205,100%,205
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Piperacillin,100%,205,91%,187
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Tobramycin,100%,205,86%,176
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,205,66%,135
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Amikacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Amikacin,100%,929,100%,929
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Amoxicillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Amoxicillin,100%,929,75%,697
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Ampicillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Ampicillin,100%,929,46%,427
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Cefazolin,100%,929,82%,762
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Cefepime,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Cefepime,100%,929,93%,864
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Ceftriaxone,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Ceftriaxone,100%,929,90%,836
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Ciprofloxacin,100%,929,74%,687
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Gentamicin,100%,929,88%,818
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Imipenem (Cilastatin),Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Imipenem (Cilastatin),100%,929,100%,929
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Levofloxacin,100%,929,75%,697
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Piperacillin,100%,929,95%,883
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Tobramycin,100%,929,88%,818
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Escherichia coli::Urine::2017::11,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,929,64%,595
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Amikacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Amikacin,100%,962,99%,952
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Amoxicillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Amoxicillin,100%,962,73%,702
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Ampicillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Ampicillin,100%,962,47%,452
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Cefazolin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Cefazolin,100%,962,78%,750
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Cefepime,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Cefepime,100%,962,91%,875
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Ceftriaxone,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Ceftriaxone,100%,962,88%,847
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Ciprofloxacin,100%,962,76%,731
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Gentamicin,100%,962,90%,866
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Levofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Levofloxacin,100%,962,76%,731
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Meropenem,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Meropenem,100%,962,100%,962
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Piperacillin,100%,962,94%,904
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Tobramycin,100%,962,88%,847
Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Escherichia coli::Urine::2018::5,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,962,67%,645
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Amikacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Amikacin,100%,104,100%,104
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Amoxicillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Amoxicillin,100%,104,89%,93
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Ampicillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Ampicillin,100%,104,100%,104
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Cefazolin,100%,104,90%,94
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Cefepime,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Cefepime,100%,104,97%,101
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Ceftriaxone,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Ceftriaxone,100%,104,93%,97
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Ciprofloxacin,100%,104,98%,102
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Gentamicin,100%,104,95%,99
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Imipenem (Cilastatin),Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Imipenem (Cilastatin),100%,104,98%,102
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Levofloxacin,100%,104,98%,102
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Piperacillin,100%,104,95%,99
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Tobramycin,100%,104,93%,97
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2017::11,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,104,93%,97
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Amikacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Amikacin,100%,252,100%,252
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Amoxicillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Amoxicillin,100%,252,89%,224
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Ampicillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Ampicillin,100%,252,100%,252
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Cefazolin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Cefazolin,100%,252,89%,224
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Cefepime,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Cefepime,100%,252,94%,237
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Ceftriaxone,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Ceftriaxone,100%,252,91%,229
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Ciprofloxacin,100%,252,95%,239
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Gentamicin,100%,252,93%,234
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Levofloxacin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Levofloxacin,100%,252,98%,247
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Meropenem,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Meropenem,100%,252,100%,252
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Piperacillin,100%,252,97%,244
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Tobramycin,100%,252,92%,232
Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Klebsiella pneumoniae::_::2018::5,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,252,90%,227
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Amikacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Amikacin,100%,103,98%,101
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Amoxicillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Amoxicillin,100%,103,98%,101
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Ampicillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Ampicillin,100%,103,58%,60
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Cefazolin,100%,103,62%,64
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Cefepime,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Cefepime,100%,103,83%,85
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Ceftriaxone,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Ceftriaxone,100%,103,79%,81
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Ciprofloxacin,100%,103,64%,66
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Gentamicin,100%,103,90%,93
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Levofloxacin,100%,103,63%,65
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Piperacillin,100%,103,98%,101
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Tobramycin,100%,103,90%,93
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Proteus mirabilis::_::2017::11,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,103,62%,64
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Amikacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Amikacin,100%,122,98%,120
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Amoxicillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Amoxicillin,100%,122,94%,115
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Ampicillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Ampicillin,100%,122,68%,83
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Cefazolin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Cefazolin,100%,122,69%,84
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Cefepime,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Cefepime,100%,122,89%,109
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Ceftriaxone,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Ceftriaxone,100%,122,89%,109
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Ciprofloxacin,100%,122,75%,92
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Gentamicin,100%,122,87%,106
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Levofloxacin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Levofloxacin,100%,122,75%,92
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Piperacillin,100%,122,97%,118
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Tobramycin,100%,122,87%,106
Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Proteus mirabilis::_::2018::5,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,122,73%,89
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Amikacin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Amikacin,100%,224,90%,202
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Cefepime,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Cefepime,100%,224,83%,186
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Ciprofloxacin,100%,224,79%,177
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Gentamicin,100%,224,78%,175
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Imipenem (Cilastatin),Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Imipenem (Cilastatin),100%,224,74%,166
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Piperacillin,100%,224,91%,204
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2017::11,Tobramycin,100%,224,92%,206
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Amikacin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Amikacin,100%,298,96%,286
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Cefepime,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Cefepime,100%,298,89%,265
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Ciprofloxacin,100%,298,81%,241
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Gentamicin,100%,298,91%,271
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Meropenem,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Meropenem,100%,298,92%,274
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Piperacillin,100%,298,87%,259
Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Pseudomonas aeruginosa::_::2018::5,Tobramycin,100%,298,97%,289
Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11,Cefazolin,100%,366,0%,0
Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11::Clindamycin,Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11,Clindamycin,100%,366,53%,194
Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Staphylococcus aureus (MRSA)::_::2017::11,Levofloxacin,100%,366,24%,88
