id,type,capacity,certification,mpc,address,zip,phone,fax,lat,lon
Barton House,Assisted Living::Directed Center,20,,Scottsdale,7007 East Mountain View Road,85253,(480)991-9912,(480)991-0057,33.575363,-111.92987
Beatitudes Campus Of Care,Assisted Living::Directed Center,129,T,Phoenix,1616 And 1712 West Glendale Avenue,85021,(602)995-2611,(602)335-8479,33.538618,-112.096309
Bee Hive Homes Of Green Valley,Assisted Living::Directed Center,40,,Green Valley,3161 South Prosperous Place,85614,(520)393-7233,(520)393-7234,31.824511,-111.000996
Beehive Homes Of Page Elk Rd,Assisted Living::Directed Center,16,T,Page,95 Elk Road,86040,(928)660-0681,(928)300-9276,36.905968,-111.47162
Bethesda Gardens,Assisted Living::Directed Center,130,,Phoenix,13825 North Cave Creek Road,85022,(602)765-4000,(602)765-4005,33.612991,-112.03504
Brookdale Arrowhead Ranch,Assisted Living::Directed Center,112,T,Glendale,5861 West Beverly Lane,85306,(602)938-7166,(602)938-7164,33.633514,-112.185089
Brookdale Camino Del Sol,Assisted Living::Directed Center,52,,Sun City West,14001 West Meeker Boulevard,85375,(623)975-4000,(623)975-0000,33.658748,-112.362457
Brookdale Central Chandler,Assisted Living::Directed Center,112,,Chandler,1919 West Carla Vista Drive,85224,(480)855-6500,(480)726-3690,33.310534,-111.875719
Brookdale Chandler Ray Road,Assisted Living::Directed Center,54,,Chandler,2800 West Ray Road,85224,(480)855-7100,(480)855-0471,33.320593,-111.890411
Brookdale Chandler Regional,Assisted Living::Directed Center,96,,Chandler,750 South Pennington Drive,85224,(480)814-8298,(480)814-8860,33.294103,-111.872077
Brookdale East Arbor,Assisted Living::Directed Center,72,,Mesa,6060 East Arbor Avenue,85206,(480)807-6600,(480)807-2734,33.41387,-111.699916
Brookdale East Mesa,Assisted Living::Directed Center,56,,Mesa,6145 East Arbor Avenue,85206,(480)832-1300,(480)832-1370,33.412712,-111.697316
Brookdale East Tucson,Assisted Living::Directed Center,60,,Tucson,8468 East Speedway Boulevard,85710,(520)722-8841,(520)722-0689,32.235302,-110.812144
Brookdale North Gilbert,Assisted Living::Directed Center,56,,Gilbert,845 North El Dorado Drive,85233,(480)539-0801,(480)539-9692,33.366779,-111.826635
Brookdale North Glendale,Assisted Living::Directed Center,38,,Glendale,6735 West Hillcrest Boulevard,85310,(623)572-7400,(623)572-7900,33.684416,-112.203994
Brookdale North Mesa,Assisted Living::Directed Center,103,,Mesa,2122 East Brown,85213,(480)964-8788,(480)964-8780,33.437357,-111.784714
Brookdale North Scottsdale,Assisted Living::Directed Center,200,,Scottsdale,15436 North 64Th Street,85254,(480)948-6950,(480)948-6930,33.62636,-111.943113
Brookdale North Tucson,Assisted Living::Directed Center,60,,Tucson,2650 West Ina Road,85741,(520)229-0232,(520)229-0259,32.337549,-111.024053
Brookdale Oro Valley,Assisted Living::Directed Center,42,,Oro Valley,10175 North Oracle Road,85737,(520)544-4300,(520)544-7300,32.390745,-110.963976
Brookdale Peoria,Assisted Living::Directed Center,72,,Peoria,8989 West Greenbrian Drive,85382,(623)583-1704,(623)583-7903,33.643402,-112.253548
Brookdale Santa Catalina,Assisted Living::Directed Center,155,,Tucson,7500 North Calle Sin Envidia,85718,(520)742-6242,(520)742-4105,32.342678,-110.935714
Brookdale Tanque Verde,Assisted Living::Directed Center,42,,Tucson,9050 East Tanque Verde Road,85749,(520)749-9200,(520)749-9600,32.25777,-110.798792
Brookdale Tempe,Assisted Living::Directed Center,52,,Tempe,1610 East Guadalupe Road,85283,(480)777-9334,(480)777-7658,33.363901,-111.913449
Brookdale Trail Ridge,Assisted Living::Directed Center,56,T,Sun City West,21739 North 151St Avenue,85375,(623)546-3650,(623)546-3740,33.681794,-112.381314
Brookdale Union Hills,Assisted Living::Directed Center,56,,Peoria,9296 West Union Hills Drive,85382,(623)362-2700,(623)362-2990,33.652769,-112.259142
Canyon Valley Memory Care Residence,Assisted Living::Directed Center,64,,Green Valley,2985 South Camino Del Sol,85614,(520)393-0077,(520)393-3376,31.827924,-111.012129
Carriage House On West Garden Lane,Assisted Living::Directed Center,32,T,Snowflake,395 West Garden Lane,85937,(928)536-7935,(928)536-5444,34.514335,-110.119624
Cascades Of Tucson,Assisted Living::Directed Center,217,,Tucson,201 North Jessica Avenue,85710,(520)886-3171,(520)886-7396,32.222613,-110.847667
Catalina Village Assisted Living,Assisted Living::Directed Center,107,,Tucson,5324 East 1St Street,85711,(520)327-4010,(520)327-9954,32.23511,-110.879156
Cerbat Guest Home,Assisted Living::Directed Center,35,T,Kingman,2364 Carver Avenue,86401,(928)757-3989,(928)692-0398,35.267566,-114.022745
Chaparral Winds Assisted Living,Assisted Living::Directed Center,96,T,Surprise,16623 North West Point Parkway,85374,(623)975-0880,(623)975-6031,33.633679,-112.354562
Christian Care Assisted Living Inc,Assisted Living::Directed Center,55,T,Phoenix,11818 North 19Th Avenue,85029,(602)443-5464,(602)443-5489,33.594093,-112.099798
Christian Care Manor Inc,Assisted Living::Directed Center,46,T,Phoenix,11802 North 19Th Avenue,85029,(602)443-5475,(602)443-5450,33.593637,-112.099801
Copper Canyon Alzheimer's Special Care Center,Assisted Living::Directed Center,66,,Tucson,5901 North La Cholla Boulevard,85741,(520)293-3114,(520)293-3121,32.314019,-111.012381
Copper Creek Inn Memory Care Community,Assisted Living::Directed Center,67,,Chandler,2200 West Fairview Street,85224,(480)634-4191,(480)634-4192,33.295168,-111.881805
Copper Heights Assisted Living,Assisted Living::Directed Center,31,T,Mesa,152 North 56Th Street,85205,(480)985-0680,(480)396-6231,33.418743,-111.710638
Copper Place,Assisted Living::Directed Center,53,,Yuma,12234 E North Frontage Road,85367,(928)305-0892,(928)314-4847,32.671024,-114.423558
Copper Village Assisted Living,Assisted Living::Directed Center,90,T,Mesa,5037 East Broadway Road Building #2,85206,(480)924-4073,(480)396-0191,33.408227,-111.722784
Cypress Inn Assisted Living Center,Assisted Living::Directed Center,30,,Douglas,757 12Th Street,85607,(520)364-7232,(520)364-5322,31.346412,-109.550523
Desert Flower,Assisted Living::Directed Center,118,,Scottsdale,9185 East Desert Cove,85260,(480)657-9000,(480)767-6584,33.58511,-111.883129
Desert Sky Assisted Living,Assisted Living::Directed Center,103,T,Glendale,5125 North 58Th Avenue,85301,(623)915-5720,(623)931-8776,33.512368,-112.183781
Desert Winds Assisted Living,Assisted Living::Directed Center,88,T,Peoria,20545 North Lake Pleasant Road,85382,(623)322-0600,(623)322-0610,33.67022,-112.279715
Doctor's Choice Assisted Living,Assisted Living::Directed Center,19,T,Mesa,9101 East Brown Road Suite 107,85207,(480)854-8803,(480)284-9338,33.43669,-111.634416
Emerald Groves Central,Assisted Living::Directed Center,31,,Mesa,2759 North Val Vista Drive,85213,(480)325-4555,(480)654-1045,33.465699,-111.753028
Emerald Springs Retirement And Assisted Living Community,Assisted Living::Directed Center,200,,Yuma,1475 South 46Th Avenue,85364,(928)329-7707,(928)329-7717,32.700939,-114.677965
Encanto Palms Assisted Living,Assisted Living::Directed Center,97,,Phoenix,3901 West Encanto Boulevard,85009,(602)352-0000,(602)272-6533,33.47306,-112.143218
Fairmount Assisted Living LLC,Assisted Living::Directed Center,40,,Tucson,6161 East Fairmount Street,85712,(520)344-8890,(520)396-3526,32.239881,-110.861028
Fellowship Square Historic Mesa,Assisted Living::Directed Center,106,,Mesa,22 West 9Th Place,85201,(480)834-0600,(480)290-7963,33.432485,-111.831876
Forum At Tucson,Assisted Living::Directed Center,130,,Tucson,2500 North Rosemont Boulevard,85712,(520)325-4800,(520)319-4076,32.251669,-110.883837
Fountain View Village,Assisted Living::Directed Center,125,,Fountain Hills,16455 East Avenue Of The Fountains Bldg C & E,85268,(480)836-5000,(480)836-5061,33.608904,-111.726186
Gardens Of Sun City,Assisted Living::Directed Center,83,,Sun City,17225 North Boswell Boulevard,85373,(623)933-2222,(623)972-3767,33.640495,-112.278719
Garnet Of Casa Grande Assisted Living Community,Assisted Living::Directed Center,106,,Casa Grande,510 East 8Th Street,85122,(520)876-4200,(520)876-0102,32.880822,-111.747435
Glassford Place,Assisted Living::Directed Center,47,,Prescott Valley,7509 East Long Look Drive,86314,(928)772-3690,(928)775-0334,34.600429,-112.333714
Grand Court Of Mesa,Assisted Living::Directed Center,140,,Mesa,262 East Brown Road,85201,(480)844-7336,(480)844-7045,33.435209,-111.825679
Highgate Senior Living Of Prescott Lakes,Assisted Living::Directed Center,97,,Prescott,1600 Petroglyph Pointe Drive,86301,(928)541-1400,(928)541-1410,34.582124,-112.435997
Hinkson Assisted Living LLC,Assisted Living::Directed Center,20,,Saint Johns,725 North 13Th West,85936,(928)333-0151,(928)333-0154,34.515617,-109.383963
Holmlund Assisted Living Suites At La Posada,Assisted Living::Directed Center,176,,Green Valley,700 730 And 750 South La Posada Circle,85614,(520)648-8400,(520)648-8469,31.859317,-110.980583
Huger Mercy Living Center,Assisted Living::Directed Center,48,T,Phoenix,2345 West Orangewood Ave,85021,(602)406-5600,(602)406-5620,33.545723,-112.109089
Immanuel Campus Of Care,Assisted Living::Directed Center,210,,Peoria,11295 North 99Th Avenue,85345,(623)876-6100,(623)876-6133,33.585165,-112.272384
Inn At The Amethyst Assisted Living,Assisted Living::Directed Center,88,T,Peoria,18172 North 91St Avenue,85382,(623)974-5847,(623)974-0679,33.648658,-112.255157
June And Frank Sackton Assisted Living Apartments At Westminster Village,Assisted Living::Directed Center,30,,Scottsdale,12000 North 90Th Street,85260,(480)451-2000,(480)451-2057,33.596174,-111.887183
Kingswood Place,Assisted Living::Directed Center,62,,Surprise,15155 West Mondell Road,85374,(623)214-6109,(623)214-4912,33.64146,-112.38444
Kivel Manor Assisted Living Center,Assisted Living::Directed Center,53,T,Phoenix,3040 North 36Th Street,85018,(602)443-8014,(602)956-6589,33.483067,-112.004373
Lake View Terrace Memory Care Residence,Assisted Living::Directed Center,72,T,Lake Havasu City,320 North Lake Havasu Avenue,86403,(928)855-8099,(928)855-6666,34.483346,-114.34769
Legacy Retirement Residence,Assisted Living::Directed Center,170,,Mesa,5625 East Mckellips,85215,(480)985-0300,(480)985-0302,33.451722,-111.70829
Manors At Glencroft,Assisted Living::Directed Center,80,,Glendale,8611 North 67Th Avenue,85302,(623)847-3008,(623)847-3051,33.561333,-112.202776
Maravilla Scottsdale,Assisted Living::Directed Center,84,,Scottsdale,7375 East Princess Boulevard,85255,(480)538-5600,(480)538-5154,33.646714,-111.92285
Margaret T Morris Center,Assisted Living::Directed Center,57,,Prescott,878 Sunset Avenue,86305,(928)445-6633,(928)445-5368,34.55594,-112.484967
Maryland Gardens Care Center,Assisted Living::Directed Center,40,,Phoenix,31 West Maryland Avenue,85013,(602)265-7484,(602)279-6030,33.530916,-112.074671
Memory Care Assisted Living At Friendship Village Tempe,Assisted Living::Directed Center,24,,Tempe,2525 East Southern Avenue,85282,(480)756-5800,(480)756-5860,33.392861,-111.883972
Mimosa Springs,Assisted Living::Directed Center,42,T,Scottsdale,8435 East Mcdowell Road,85257,(480)874-5300,(480)874-5385,33.465633,-111.899863
Mountain Park Senior Living,Assisted Living::Directed Center,86,,Phoenix,4475 East Knox Road,85044,(480)893-1200,(480)705-0229,33.326672,-111.98725
My Father's Retirement Ranch,Assisted Living::Directed Center,42,,Wickenburg,400 North Jefferson Street,85390,(928)684-5925,(928)684-3247,33.970814,-112.736801
Nunnenkamp Center Friendship Village Tempe,Assisted Living::Directed Center,72,,Tempe,2635 East Southern Avenue,85282,(480)831-3265,(480)831-3196,33.392874,-111.88136
Oasis At El Corral Assisted Living Center,Assisted Living::Directed Center,59,,Tucson,2721 North Oracle Road,85705,(520)624-1771,(520)629-1902,32.256549,-110.978389
Olive Grove Real Estate LLC,Assisted Living::Directed Center,115,,Phoenix,3014 East Indian School Road,85016,(602)957-7021,(602)957-0830,33.495263,-112.017065
Pacifica Senior Living Paradise Valley,Assisted Living::Directed Center,84,T,Phoenix,16621 North 38Th Street,85032,(602)787-0800,(602)787-0531,33.637364,-112.000291
Pacifica Senior Living Tucson,Assisted Living::Directed Center,70,,Tucson,2675 North Wyatt Drive,85712,(520)320-7505,(520)320-0688,32.255643,-110.884765
Palos Verdes Senior Living,Assisted Living::Directed Center,80,,Peoria,18441 North 87Th Avenue,85382,(623)878-0087,(623)878-5553,33.651645,-112.246164
Peaks A Senior Living Community,Assisted Living::Directed Center,92,,Flagstaff,3150 North Winding Brook Road,86001,(928)774-7106,(928)213-0831,35.233331,-111.660556
Powell Place,Assisted Living::Directed Center,47,,Payson,806 West Longhorn Road,85541,(928)474-6249,(520)474-9467,34.239384,-111.334442
Prestige Assisted Living At Claremont,Assisted Living::Directed Center,40,,Lake Havasu City,1221 Claremont Drive,86406,(928)855-4843,(928)855-2987,34.454208,-114.289629
Prestige Assisted Living At Green Valley,Assisted Living::Directed Center,75,,Green Valley,1175 South Abrego Drive,85614,(520)648-5583,(520)399-0589,31.853361,-110.987367
Prestige Assisted Living At Lake Havasu,Assisted Living::Directed Center,67,,Lake Havasu City,90 South Smoketree Avenue,86406,(928)680-1818,(928)680-9188,34.476085,-114.332613
Prestige Assisted Living At Sierra Vista,Assisted Living::Directed Center,67,,Sierra Vista,4400 Avenida Cochise,85635,(520)452-1402,(520)452-9757,31.532679,-110.249029
Rose Court Senior Living,Assisted Living::Directed Center,92,,Phoenix,2935 North 18Th Place,85016,(602)265-9813,(602)277-9779,33.48091,-112.041925
Royal Oaks Assisted Living Center,Assisted Living::Directed Center,183,,Sun City,9965(A) 9925(B) And 10025(C) West Royal Oak Road,85351,(623)815-4102,(623)815-4138,33.601277,-112.2732
Rubin Community For Senior Living,Assisted Living::Directed Center,96,,Tucson,2221 North Rosemont Boulevard,85712,(520)881-2323,(520)322-3620,32.248194,-110.884254
Scottsdale Memory Care,Assisted Living::Directed Center,86,,Scottsdale,9450 East Mountain View Road,85258,(480)656-4084,(480)656-4278,33.575392,-111.877455
Sedona Winds,Assisted Living::Directed Center,92,,Sedona,475 Jacks Canyon Road,86351,(928)284-9077,(928)284-5081,34.779303,-111.754639
Silver Creek Inn Memory Care Community,Assisted Living::Directed Center,67,,Mesa,6345 East Baseline Road,85206,(480)636-1222,(480)636-1330,33.379212,-111.696408
Silver Creek Leisure Living,Assisted Living::Directed Center,62,,Bullhead City,1670 Highway 95,86442,(928)704-7000,(928)763-8070,35.124126,-114.579969
Silverado Senior Living - Scottsdale,Assisted Living::Directed Center,80,,Scottsdale,9410 East Thunderbird Road,85260,(480)614-9100,(480)550-0641,33.61177,-111.878069
Solterra Senior Living,Assisted Living::Directed Center,110,,Chandler,350 South Alma School Road,85224,(480)214-6700,(480)855-5500,33.298362,-111.859275
Splendido At Rancho Vistoso,Assisted Living::Directed Center,42,,Tucson,13500 North Rancho Vistoso Boulevard,85755,(520)878-2651,(520)878-2750,32.449797,-110.974302
Summit At Sunland Springs,Assisted Living::Directed Center,176,,Mesa,2415 South Signal Butte Road,85209,(480)907-5588,(480)656-6353,33.370492,-111.601199
Sunhaven Assisted Living North,Assisted Living::Directed Center,16,,Lake Havasu City,2845 Havasupai Boulevard,86404,(928)855-5558,(877)632-1956,34.508089,-114.316677
Sunridge Village,Assisted Living::Directed Center,140,T,Bullhead City,839 Landon Drive,86429,(928)754-0700,(928)754-1225,35.185395,-114.52713
Sunrise At River Road,Assisted Living::Directed Center,110,,Tucson,4975 North 1St Avenue,85718,(520)888-8400,(520)888-8401,32.296803,-110.961289
Sunrise Of Chandler,Assisted Living::Directed Center,100,,Chandler,5757 West Chandler Boulevard,85226,(480)786-4998,(480)786-4974,33.30517,-111.941073
Sunrise Of Gilbert,Assisted Living::Directed Center,102,,Gilbert,580 South Gilbert Road,85296,(480)632-9400,(480)632-9401,33.339611,-111.790015
Sunrise Of Scottsdale,Assisted Living::Directed Center,110,,Scottsdale,7370 East Gold Dust Avenue,85258,(480)609-5115,(480)609-5744,33.578507,-111.923313
Sunshine Village,Assisted Living::Directed Center,84,T,Phoenix,2606 East Greenway Parkway,85032,(602)765-7400,(602)765-0599,33.629485,-112.025494
The Gardens Of Scottsdale,Assisted Living::Directed Center,86,,Scottsdale,6001 East Thomas Road,85251,(480)941-2222,(480)941-2741,33.479967,-111.951966
The Lodge At 14Th Street,Assisted Living::Directed Center,40,,Phoenix,2941 North 14Th Street,85014,(602)279-1033,(602)277-5367,33.448794,-112.05198
The Terraces Assisted Living,Assisted Living::Directed Center,98,,Phoenix,7550 North 16Th Street,85020,(602)371-4100,(602)371-4107,33.546401,-112.04774
Ventana Winds LLC,Assisted Living::Directed Center,140,T,Youngtown,12322 North 113Th Avenue,85363,(623)583-2460,(623)583-4677,33.59692,-112.30231
Vi At Grayhawk A Vi And Plaza Companies Community,Assisted Living::Directed Center,84,,Scottsdale,7501 East Thompson Peak Parkway,85255,(480)659-5100,(480)659-5166,33.669078,-111.918523
